rating,description,title,brand,image_urls,product_url,price
3.5: Based on 2 ratings,"
","HP 255 G6 E2-9000e AMD (4GB,500GB HDD) 15.6-Inch Free DOS Laptop - Black",HP,"https://ng.jumia.is/XLeI8ccG39OcVgXulEn5Fwzw91o=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/99/95019/1.jpg?1859,https://ng.jumia.is/a0qpDF6ZhZMAjfXUP6H0dlhDC3I=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/99/95019/2.jpg?1862,https://ng.jumia.is/mliQEvJ1YdJChOd8lfQmfKmNakI=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/99/95019/3.jpg?2632,https://ng.jumia.is/9f6H7QICmxSolWd-B0Ujl7iKOEQ=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/99/95019/4.jpg?2681",https://www.jumia.com.ng/hp-255-g6-e2-9000e-amd-4gb500gb-hdd-15.6-inch-free-dos-laptop-black-9105999.html,#86990
0: No rating yet.,"Dependable performanceWith the latest Intel® processors and plenty of hard drive space or SSD on selected models, you can work, play, multitask, and store more of what matters to you. Get reliable power and storage you can trust.Vibrant displayThe crisp HD screen lets you enjoy your photos, videos, and web pages in detail. Or on selected models the Full HD lets you get even more out of your display.","HP Notebook 15 Touchscreen Core I3 (8GB RAM, 1000GB HDD+ Free Ext DVD  Drive, Bag,) Windows 10 Laptop",HP,"https://ng.jumia.is/pp2OhB6wpKt8u18Grrf4SDPJtTg=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/33/022011/1.jpg?1864,https://ng.jumia.is/8zpX58R095hw7CYBF_KtNthSwD4=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/33/022011/2.jpg?1864,https://ng.jumia.is/bGbnstNrdR1jkDFeUdqzqsaln5I=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/33/022011/3.jpg?1864",https://www.jumia.com.ng/hp-notebook-15-touchscreen-core-i3-8gb-ram-1000gb-hdd-free-ext-dvd-drive-bag-windows-10-laptop-11022033.html,#145000
0: No rating yet.,n/a,"HP Pavilion 15 Touchscreen Core I5 8 GB RAM, 1 TB HDD Backlit Keyboard Windows 10 With Licensed Anti-virus",HP,"https://ng.jumia.is/qCWxFU_FQmXLnCSJgqmhuhGD3T4=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/50/328301/1.jpg?1335,https://ng.jumia.is/dJWSk2YgnAMbW9gYtY-CVF9e99s=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/50/328301/2.jpg?1335,https://ng.jumia.is/OLTQCJ1PABzkxyl75glQz8vczkM=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/50/328301/3.jpg?1335",https://www.jumia.com.ng/hp-pavilion-15-touchscreen-core-i5-8-gb-ram-1-tb-hdd-backlit-keyboard-windows-10-with-licensed-anti-virus-10382305.html,#195000
0: No rating yet.,"Lenovo 14-inch ThinkPad T440 Ultrabook is the thinnest and lightest ThinkPad T series laptop we offer. 4th generation Intel Core processors deliver the performance to increase productivity for your business. Devices turn on in an instant and are always up-to-date. You can multitask quickly and move effortlessly between applications, collaborate wirelessly in a high quality videoconference - all with the convenience of longer battery life. Plus, you can guard against identity theft and ensure safe access to your network with built-in security features. In fact, the only thing more amazing than an Intel Core processor-based PC is what your users will do with it. The standard configuration of T440 includes 2 x 3-cell batteries, one internal and one swappable. Power Bridge allows you to swap the rear battery without powering down your system. This is much needed for long flights or travellers who are away from power sources for an extended period of time and can give you up to 17 hours of use without needing to plug in. A VGA port for projector connections in conference rooms is still a business must-have, and a native VGA means no dongles to buy/lose/replace. Dolby Advanced Audio is a suite of audio technologies that enable your ThinkPad to deliver a crisp, clear surround sound experience over its built-in stereo speakers. The technology increases audio clarity for VOIP applications, maximizes volume output without distortion, and improves dialogue clarity when watching videos. Crystal clear video, face tracking and keystroke noise suppression technology will help you web conference or chat like you're really there. Dual digital array microphones ensure a premium audio experience. Assure worry-free enjoyment of your T440 with accidental damage protection, which keeps you covered in the event of accidental damage - such as drops or spills - that occur under normal working conditions.","Lenovo Lenovo T440 14-inch ThinkPad  (Intel Core I5 1.6 GHz Processor, 4 GB RAM, 500 GB HDD, With Bag+Wireless Mouse",Lenovo,"https://ng.jumia.is/3zEOmdhzU34BXo6y4qyOuNKqwgY=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/66/649701/1.jpg?1232",https://www.jumia.com.ng/lenovo-lenovo-t440-14-inch-thinkpad-intel-core-i5-1.6-ghz-processor-4-gb-ram-500-gb-hdd-with-bagwireless-mouse-10794666.html,#142200
0: No rating yet.,n/a,"HP Notebook -15-bs013dx- Intel Core I3 - 2.4GHz - Dvd-Writer, Full-size Island, 8GB RAM, 1TB HDD - Windows 10+ 32gb Flash+ Usb Light",HP,"https://ng.jumia.is/ZMoW06v1WcbnTYF2E9QAP0HmfeA=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/95/875011/1.jpg?0997",https://www.jumia.com.ng/hp-notebook-15-bs013dx-intel-core-i3-2.4ghz-dvd-writer-full-size-island-8gb-ram-1tb-hdd-windows-10-32gb-flash-usb-light-11057859.html,#155000
0: No rating yet.,Windows 10 operating system,"Acer TravelMate 11.6"" Laptop - Intel Celeron Quad Core - 4GB Memory - 128GB Solid State Drive Windows 10 - Black",Acer,"https://ng.jumia.is/ti6vy-Z37LeISOPzk4ZBX4lnHmc=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/1.jpg?9456,https://ng.jumia.is/mdoldONd-K5ta-FoYiINwT1f_Ns=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/2.jpg?9456,https://ng.jumia.is/opWMPCNIWroyPl1dcmSKqau3XqA=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/3.jpg?9456,https://ng.jumia.is/0dVD6ioQXtBDmv1sv8MM7JDECKw=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/4.jpg?9456,https://ng.jumia.is/D6plUVze02CQNSQGqVBJp_q8r0g=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/5.jpg?9456,https://ng.jumia.is/i2vp6lTFHhSsB1jXD7TZy5OKyl8=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/6.jpg?9456,https://ng.jumia.is/PUe9UmXVTDSF6uZRpzQjE8JTVmM=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/7.jpg?9456,https://ng.jumia.is/KXP43kX0Ka6RETszv5ty_7AncaY=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/405201/8.jpg?9456",https://www.jumia.com.ng/travelmate-11.6-laptop-intel-celeron-quad-core-4gb-memory-128gb-solid-state-drive-windows-10-black-acer-mpg140702.html,#78790
0: No rating yet.,"Lenovo ThinkPad Yoga 370 13Inch Core i5,8GB ,256GB SSD Convertible,Touch screenWindows 10CPU	Intel Core i5-7200UOperating System	Windows 10 ProRAM	8GBRAM Upgradable to	16GBHard Drive Size	256GB SSD13.3-inch FHD (1920 x 1080) IPS touch displayIntel Core i5-7200U 2.5GHzIntel HD Graphics 6208GB of DDR4256GB PCIe SSD802.11 a/b/g/n/acBluetooth 4.1Dimensions: 12.3 x 8.75 x 0.7-inchesWeight: 3.1 pounds","Lenovo ThinkPad Yoga 370 13Inch Core I5,8GB ,256GB SSD Convertible,Touch Screen",Lenovo,"https://ng.jumia.is/MTi8NNnpBGPQNm2S_lLTMQqWAt0=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/18/648901/1.jpg?4981,https://ng.jumia.is/5wLpxoaM7d50_r7WkarYEmXRCe4=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/18/648901/2.jpg?4981,https://ng.jumia.is/nQD2lFatthiYn83pahVRUk_eNcE=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/18/648901/3.jpg?4981,https://ng.jumia.is/tkTsjcuM0kgaxhEmrpnl8SgH-W4=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/18/648901/4.jpg?4981,https://ng.jumia.is/HfnWRn3hyGOSdeEDv8eoGKO62bg=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/18/648901/5.jpg?4981",https://www.jumia.com.ng/lenovo-thinkpad-yoga-370-13inch-core-i58gb-256gb-ssd-convertibletouch-screen-10984681.html,#310000
0: No rating yet.,"DELL Precision M3520 CORE I7 500GB 8GB 2.80GHZ  2GB NVIDIA TOUCH KEYLIGHT 15.6INCHCore i7-7700HQIntel Core i7-7700HQ 2.80GHz; 512GB SSD; 8GB DDR415.6"" LCD display Bluetooth 4.1; Microsoft Windows 10 Keyboard LightTOUCHSCREENIntegrated NVIDIA Quadro M620 Graphics(2.0GB Dedicated Video Memory)",Dell  Precision M3520 CORE I7 500GB 8GB 2.80GHZ  2GB NVIDIA TOUCH KEYLIGHT 15.6INCH,Dell,"https://ng.jumia.is/eKrs90kJzNDYx2yyC-E1umpkZi0=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/037111/1.jpg?2421,https://ng.jumia.is/geMM5PsZr979GhZTxlG0mRI0ogw=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/037111/2.jpg?2421,https://ng.jumia.is/yNeyvuosQgHgeH32iQ_WyxUxpg4=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/037111/3.jpg?2421,https://ng.jumia.is/8s68rEy5h1cdN-ij0DWCYndbx4g=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/037111/4.jpg?2421",https://www.jumia.com.ng/dell-precision-m3520-core-i7-500gb-8gb-2.80ghz-2gb-nvidia-touch-keylight-15.6inch-11173071.html,#315000
4.7: Based on 7 ratings,"
        


	
		","T-bao Tbook X7 14.1"" Notebook - Silver",T-bao,"https://ng.jumia.is/j1mLpXYxZ-uUHMtzTltNy1XTCAg=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/74296/1.jpg?5889,https://ng.jumia.is/iOa0HjkZ4eGGqJ1gqy-ZPx3kiT4=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/74296/2.jpg?5889,https://ng.jumia.is/wm_9DRRCqqTCpfX1oDiges0WXc8=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/74296/3.jpg?5889,https://ng.jumia.is/n5HfIHnn0FwH6wBEcFhz8siZw-Y=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/74296/4.jpg?5889,https://ng.jumia.is/iSZBeZQ0lTIIzVDCCAHMzxEAGPA=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/74296/5.jpg?5889,https://ng.jumia.is/KADMn57JHmIiExm0tcQzX55aJk0=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/74296/6.jpg?5889",https://www.jumia.com.ng/t-bao-tbook-x7-14.1-notebook-silver-6924717.html,#60100
0: No rating yet.,The ,"HP Pavillion 15 Intel Core I5 TOUCH SCREEN (8GB,1TB HDD) 15.6-Inch Win10 .Hp Bag+16GB Flash Drive",HP,"https://ng.jumia.is/X3NntFG8KAQvTN_EQ76GHv1y0I0=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/38/445111/1.jpg?1105,https://ng.jumia.is/9DR5_lPb8_yBfQF_gVEBEMByE70=/fit-in/680x680/filters:fill(white):sharpen(1,0,false):quality(80)/product/38/445111/2.jpg?1105",https://www.jumia.com.ng/hp-pavillion-15-intel-core-i5-touch-screen-8gb1tb-hdd-15.6-inch-win10-.hp-bag16gb-flash-drive-11154483.html,#192000
